IVC_repair_type,IVC_injury_group,Survived,Died,Mortality_Percent
Irreparable,Suprahepatic,0,2,100
Primary,Suprahepatic,0,1,100
Irreparable,Retrohepatic,0,5,58.333333333333336
Ligation,Retrohepatic,0,1,58.333333333333336
Primary,Retrohepatic,5,1,58.333333333333336
Irreparable,Juxtarenal,0,5,53.125
Ligation,Juxtarenal,0,4,53.125
Patch,Juxtarenal,1,0,53.125
Primary,Juxtarenal,14,8,53.125
Irreparable,Infrarenal,0,8,38.63636363636363
Ligation,Infrarenal,12,14,38.63636363636363
Patch,Infrarenal,5,1,38.63636363636363
Primary,Infrarenal,37,11,38.63636363636363
